ImageId,Label
1,3
2,0
3,9
4,0
5,3
6,7
7,0
8,3
9,0
10,3
11,0
12,7
13,9
14,0
15,9
16,3
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,0
25,7
26,9
27,3
28,7
29,9
30,7
31,7
32,0
33,9
34,3
35,6
36,3
37,0
38,0
39,1
40,6
41,7
42,7
43,9
44,9
45,6
46,7
47,6
48,3
49,6
50,7
51,6
52,6
53,6
54,3
55,6
56,3
57,1
58,3
59,3
60,0
61,9
62,1
63,7
64,0
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,0
73,6
74,6
75,3
76,6
77,9
78,9
79,3
80,3
81,0
82,9
83,1
84,0
85,9
86,3
87,9
88,3
89,6
90,7
91,3
92,0
93,6
94,6
95,1
96,9
97,3
98,9
99,7
100,9
101,0
102,9
103,3
104,0
105,7
106,3
107,0
108,0
109,0
110,6
111,0
112,0
113,9
114,7
115,1
116,7
117,1
118,1
119,3
120,3
121,3
122,7
123,3
124,6
125,6
126,3
127,6
128,7
129,8
130,9
131,3
132,0
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,6
141,9
142,3
143,9
144,0
145,0
146,6
147,7
148,7
149,3
150,6
151,9
152,3
153,0
154,6
155,0
156,3
157,7
158,0
159,7
160,6
161,3
162,0
163,9
164,0
165,1
166,3
167,7
168,6
169,3
170,0
171,3
172,7
173,6
174,6
175,1
176,3
177,7
178,9
179,1
180,3
181,9
182,6
183,0
184,3
185,9
186,9
187,3
188,1
189,6
190,0
191,6
192,1
193,9
194,9
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,6
208,9
209,6
210,3
211,0
212,9
213,3
214,6
215,3
216,3
217,1
218,6
219,3
220,9
221,3
222,3
223,1
224,3
225,3
226,0
227,9
228,6
229,1
230,0
231,0
232,9
233,9
234,1
235,7
236,3
237,3
238,3
239,6
240,6
241,6
242,6
243,3
244,6
245,0
246,0
247,9
248,6
249,3
250,0
251,9
252,7
253,1
254,3
255,6
256,9
257,0
258,1
259,9
260,0
261,6
262,3
263,3
264,0
265,7
266,0
267,6
268,6
269,3
270,1
271,6
272,0
273,6
274,3
275,9
276,6
277,1
278,0
279,6
280,9
281,0
282,9
283,3
284,0
285,0
286,3
287,7
288,1
289,9
290,9
291,0
292,7
293,7
294,9
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,9
303,6
304,3
305,6
306,3
307,7
308,1
309,9
310,0
311,6
312,0
313,9
314,0
315,0
316,3
317,6
318,9
319,1
320,6
321,9
322,1
323,1
324,9
325,6
326,9
327,0
328,1
329,0
330,3
331,6
332,3
333,1
334,3
335,0
336,9
337,0
338,0
339,6
340,0
341,6
342,3
343,1
344,6
345,6
346,0
347,6
348,0
349,3
350,3
351,6
352,7
353,7
354,3
355,0
356,6
357,3
358,9
359,3
360,7
361,6
362,6
363,3
364,6
365,9
366,3
367,3
368,6
369,1
370,6
371,9
372,6
373,7
374,9
375,7
376,6
377,9
378,0
379,3
380,7
381,6
382,0
383,0
384,9
385,3
386,6
387,3
388,1
389,3
390,7
391,1
392,7
393,9
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,9
408,3
409,6
410,0
411,0
412,0
413,9
414,1
415,3
416,3
417,1
418,1
419,3
420,0
421,9
422,6
423,6
424,0
425,3
426,1
427,9
428,7
429,9
430,7
431,9
432,6
433,0
434,3
435,6
436,1
437,3
438,9
439,0
440,0
441,6
442,9
443,7
444,9
445,9
446,9
447,1
448,0
449,3
450,9
451,0
452,7
453,6
454,9
455,0
456,9
457,3
458,3
459,0
460,6
461,6
462,7
463,0
464,0
465,0
466,1
467,7
468,9
469,9
470,1
471,1
472,9
473,9
474,0
475,6
476,0
477,1
478,3
479,1
480,0
481,9
482,6
483,1
484,3
485,7
486,9
487,9
488,6
489,3
490,7
491,7
492,9
493,3
494,9
495,6
496,7
497,6
498,3
499,3
500,0
501,6
502,0
503,9
504,9
505,1
506,6
507,3
508,3
509,0
510,3
511,7
512,0
513,6
514,7
515,0
516,3
517,0
518,7
519,9
520,3
521,6
522,9
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,0
533,3
534,6
535,3
536,0
537,6
538,0
539,7
540,3
541,0
542,3
543,6
544,3
545,0
546,3
547,0
548,9
549,3
550,1
551,1
552,3
553,0
554,0
555,0
556,0
557,7
558,0
559,6
560,3
561,0
562,3
563,6
564,1
565,6
566,0
567,9
568,1
569,1
570,9
571,6
572,0
573,3
574,6
575,0
576,9
577,6
578,3
579,9
580,3
581,0
582,1
583,7
584,6
585,9
586,1
587,7
588,3
589,6
590,0
591,6
592,6
593,9
594,0
595,3
596,6
597,6
598,6
599,0
600,3
601,0
602,1
603,7
604,1
605,6
606,3
607,6
608,0
609,6
610,9
611,7
612,9
613,3
614,3
615,3
616,9
617,7
618,0
619,0
620,9
621,6
622,0
623,9
624,9
625,0
626,6
627,8
628,3
629,6
630,3
631,6
632,1
633,6
634,6
635,1
636,9
637,7
638,7
639,6
640,3
641,0
642,9
643,9
644,6
645,7
646,7
647,9
648,6
649,1
650,6
651,9
652,6
653,0
654,3
655,6
656,3
657,9
658,3
659,3
660,7
661,3
662,3
663,9
664,0
665,9
666,6
667,1
668,3
669,3
670,6
671,3
672,9
673,9
674,3
675,6
676,7
677,7
678,3
679,6
680,0
681,6
682,9
683,6
684,8
685,1
686,3
687,9
688,6
689,9
690,9
691,3
692,6
693,0
694,1
695,6
696,9
697,3
698,9
699,6
700,6
701,9
702,0
703,0
704,0
705,6
706,0
707,9
708,9
709,6
710,0
711,1
712,6
713,1
714,0
715,3
716,6
717,3
718,3
719,7
720,6
721,9
722,3
723,1
724,0
725,1
726,0
727,6
728,9
729,7
730,0
731,7
732,1
733,3
734,3
735,7
736,7
737,1
738,0
739,1
740,0
741,9
742,9
743,3
744,9
745,3
746,9
747,0
748,7
749,6
750,6
751,9
752,9
753,9
754,9
755,1
756,9
757,7
758,1
759,1
760,6
761,7
762,0
763,9
764,0
765,9
766,0
767,0
768,0
769,1
770,6
771,6
772,0
773,0
774,1
775,0
776,3
777,9
778,6
779,3
780,1
781,1
782,6
783,9
784,6
785,3
786,0
787,0
788,9
789,6
790,6
791,0
792,0
793,9
794,0
795,9
796,3
797,1
798,6
799,9
800,9
801,1
802,1
803,3
804,3
805,1
806,9
807,9
808,6
809,9
810,1
811,0
812,9
813,3
814,3
815,3
816,9
817,0
818,9
819,7
820,9
821,3
822,0
823,0
824,0
825,1
826,9
827,0
828,9
829,0
830,3
831,6
832,0
833,0
834,9
835,3
836,9
837,6
838,1
839,0
840,0
841,1
842,9
843,0
844,6
845,8
846,6
847,7
848,3
849,6
850,0
851,6
852,9
853,7
854,7
855,3
856,6
857,1
858,3
859,9
860,0
861,0
862,9
863,1
864,9
865,3
866,3
867,6
868,9
869,3
870,3
871,9
872,0
873,9
874,3
875,3
876,3
877,1
878,1
879,0
880,1
881,9
882,9
883,1
884,1
885,3
886,7
887,1
888,0
889,9
890,9
891,1
892,7
893,6
894,0
895,9
896,3
897,9
898,9
899,1
900,1
901,0
902,3
903,0
904,7
905,9
906,7
907,6
908,3
909,3
910,7
911,3
912,0
913,9
914,7
915,1
916,6
917,9
918,6
919,1
920,0
921,7
922,3
923,0
924,9
925,9
926,7
927,9
928,6
929,6
930,3
931,3
932,3
933,1
934,9
935,0
936,3
937,7
938,7
939,9
940,0
941,6
942,3
943,6
944,1
945,0
946,9
947,3
948,3
949,9
950,3
951,6
952,7
953,0
954,3
955,3
956,3
957,6
958,3
959,0
960,3
961,7
962,9
963,9
964,0
965,9
966,0
967,1
968,6
969,6
970,0
971,3
972,3
973,9
974,6
975,7
976,0
977,6
978,0
979,7
980,9
981,0
982,6
983,7
984,9
985,7
986,7
987,0
988,0
989,3
990,3
991,1
992,9
993,0
994,6
995,6
996,3
997,6
998,3
999,3
1000,9
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,9
1008,6
1009,3
1010,9
1011,3
1012,6
1013,3
1014,7
1015,3
1016,7
1017,3
1018,3
1019,9
1020,9
1021,0
1022,9
1023,9
1024,6
1025,3
1026,6
1027,1
1028,0
1029,0
1030,1
1031,9
1032,1
1033,6
1034,9
1035,9
1036,0
1037,9
1038,0
1039,3
1040,0
1041,1
1042,6
1043,1
1044,9
1045,3
1046,3
1047,7
1048,7
1049,6
1050,6
1051,3
1052,6
1053,3
1054,0
1055,9
1056,1
1057,1
1058,3
1059,6
1060,3
1061,0
1062,0
1063,6
1064,0
1065,9
1066,9
1067,7
1068,0
1069,0
1070,9
1071,0
1072,6
1073,7
1074,6
1075,9
1076,3
1077,6
1078,1
1079,3
1080,9
1081,3
1082,0
1083,3
1084,3
1085,7
1086,7
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,7
1096,6
1097,3
1098,3
1099,3
1100,3
1101,9
1102,3
1103,9
1104,1
1105,6
1106,3
1107,0
1108,6
1109,9
1110,6
1111,7
1112,3
1113,9
1114,1
1115,0
1116,0
1117,3
1118,6
1119,9
1120,9
1121,6
1122,0
1123,9
1124,1
1125,6
1126,3
1127,8
1128,6
1129,1
1130,3
1131,0
1132,6
1133,6
1134,0
1135,3
1136,6
1137,6
1138,7
1139,7
1140,7
1141,6
1142,0
1143,3
1144,1
1145,3
1146,6
1147,9
1148,0
1149,0
1150,3
1151,6
1152,7
1153,6
1154,9
1155,7
1156,9
1157,9
1158,1
1159,6
1160,0
1161,9
1162,1
1163,9
1164,0
1165,6
1166,9
1167,1
1168,3
1169,9
1170,0
1171,6
1172,3
1173,9
1174,1
1175,6
1176,3
1177,3
1178,7
1179,3
1180,0
1181,3
1182,6
1183,9
1184,9
1185,0
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,3
1193,3
1194,6
1195,6
1196,9
1197,3
1198,3
1199,0
1200,9
1201,9
1202,6
1203,3
1204,0
1205,1
1206,7
1207,9
1208,6
1209,9
1210,0
1211,9
1212,7
1213,6
1214,9
1215,0
1216,9
1217,6
1218,7
1219,6
1220,3
1221,0
1222,0
1223,0
1224,0
1225,0
1226,9
1227,9
1228,9
1229,9
1230,0
1231,9
1232,3
1233,7
1234,0
1235,9
1236,1
1237,9
1238,0
1239,9
1240,9
1241,9
1242,0
1243,7
1244,6
1245,3
1246,9
1247,7
1248,9
1249,3
1250,6
1251,6
1252,6
1253,0
1254,9
1255,0
1256,0
1257,7
1258,6
1259,0
1260,0
1261,1
1262,9
1263,9
1264,3
1265,3
1266,1
1267,9
1268,9
1269,6
1270,1
1271,1
1272,6
1273,1
1274,0
